# FFT of scope (Hann); dt=3.361082430e-12; N=800
freq_Hz,mag
0.000000000000e+00,1.601788694352e+00
3.719040000007e+08,6.138354372502e+00
7.438080000013e+08,1.556142456101e+00
1.115712000002e+09,3.270996917126e-01
1.487616000003e+09,1.296166927057e-01
1.859520000003e+09,6.145624107972e-02
2.231424000004e+09,3.440872737845e-02
2.603328000005e+09,2.123387881055e-02
2.975232000005e+09,1.465172839492e-02
3.347136000006e+09,1.246198855250e-02
3.719040000007e+09,8.338173428663e-03
4.090944000007e+09,1.803849751246e-02
4.462848000008e+09,1.144641182452e-02
4.834752000009e+09,1.626711331568e-02
5.206656000009e+09,1.332583852590e-02
5.578560000010e+09,7.351772356435e-03
5.950464000011e+09,1.064436155303e-02
6.322368000011e+09,5.993929199109e-03
6.694272000012e+09,1.115657954947e-02
7.066176000013e+09,7.555197596234e-03
7.438080000013e+09,1.502678198032e-02
7.809984000014e+09,8.656953798935e-03
8.181888000015e+09,1.261513621575e-02
8.553792000015e+09,9.798390576833e-03
8.925696000016e+09,6.728987956632e-03
9.297600000017e+09,1.075896372330e-02
9.669504000017e+09,1.058979478317e-02
1.004140800002e+10,8.264423883953e-03
1.041331200002e+10,3.676855637648e-03
1.078521600002e+10,8.020444175404e-03
1.115712000002e+10,4.423201851937e-03
1.152902400002e+10,2.155363199710e-03
1.190092800002e+10,2.958941849169e-03
1.227283200002e+10,5.559601219511e-03
1.264473600002e+10,8.894839676535e-03
1.301664000002e+10,7.475727103867e-03
1.338854400002e+10,8.574864117955e-03
1.376044800002e+10,3.233939709138e-03
1.413235200003e+10,2.043465475397e-03
1.450425600003e+10,1.602602950374e-03
1.487616000003e+10,2.596881679878e-03
1.524806400003e+10,7.589853162219e-04
1.561996800003e+10,3.192641330888e-03
1.599187200003e+10,5.118538171317e-03
1.636377600003e+10,1.919197017901e-03
1.673568000003e+10,1.620889618735e-03
1.710758400003e+10,5.397320401706e-04
1.747948800003e+10,2.742705130210e-03
1.785139200003e+10,2.608798498883e-03
1.822329600003e+10,1.150919580718e-03
1.859520000003e+10,1.829683105801e-03
1.896710400003e+10,3.348379285050e-03
1.933900800003e+10,3.921035132288e-03
1.971091200004e+10,1.614230321239e-03
2.008281600004e+10,8.593002207618e-04
2.045472000004e+10,9.919130000217e-04
2.082662400004e+10,1.857303434911e-03
2.119852800004e+10,6.125750006978e-04
2.157043200004e+10,9.295774297391e-04
2.194233600004e+10,1.088792689924e-03
2.231424000004e+10,4.034803212042e-04
2.268614400004e+10,5.609408519653e-04
2.305804800004e+10,1.270737906468e-03
2.342995200004e+10,7.165830226232e-04
2.380185600004e+10,4.860669226534e-04
2.417376000004e+10,1.839158678792e-04
2.454566400004e+10,2.130171401941e-04
2.491756800005e+10,2.175026388250e-04
2.528947200005e+10,3.397444584617e-04
2.566137600005e+10,2.344964879507e-04
2.603328000005e+10,3.506466466608e-04
2.640518400005e+10,1.815588309259e-04
2.677708800005e+10,1.623926862180e-04
2.714899200005e+10,2.547008393147e-04
2.752089600005e+10,2.379179957668e-04
2.789280000005e+10,1.817004573856e-05
2.826470400005e+10,1.848389912845e-04
2.863660800005e+10,1.028666869119e-04
2.900851200005e+10,1.030504562877e-04
2.938041600005e+10,5.393162294947e-05
2.975232000005e+10,2.197884880832e-04
3.012422400005e+10,5.933684881543e-05
3.049612800006e+10,1.899437075802e-04
3.086803200006e+10,6.771657845948e-05
3.123993600006e+10,1.172494957086e-04
3.161184000006e+10,1.866498146611e-04
3.198374400006e+10,2.011576679775e-04
3.235564800006e+10,1.576812516603e-04
3.272755200006e+10,6.562338963195e-05
3.309945600006e+10,8.096237775650e-05
3.347136000006e+10,1.039490516083e-04
3.384326400006e+10,6.528286016935e-05
3.421516800006e+10,4.858180448368e-05
3.458707200006e+10,3.622429417558e-05
3.495897600006e+10,3.316388104423e-05
3.533088000006e+10,3.087686617826e-05
3.570278400006e+10,2.815951593518e-05
3.607468800007e+10,5.026344208681e-06
3.644659200007e+10,8.149507482029e-06
3.681849600007e+10,1.433314147418e-05
3.719040000007e+10,1.772413818023e-05
3.756230400007e+10,5.807413999909e-06
3.793420800007e+10,7.734948672552e-06
3.830611200007e+10,3.354142468466e-06
3.867801600007e+10,7.217750278559e-06
3.904992000007e+10,5.077982618277e-06
3.942182400007e+10,4.838798181826e-06
3.979372800007e+10,5.916327891998e-06
4.016563200007e+10,5.639133593494e-06
4.053753600007e+10,5.337836442670e-06
4.090944000007e+10,3.361627677795e-06
4.128134400007e+10,6.436522614223e-06
4.165324800008e+10,3.905539154464e-06
4.202515200008e+10,4.779834998474e-06
4.239705600008e+10,3.578428957144e-06
4.276896000008e+10,4.734193508184e-06
4.314086400008e+10,4.021469285417e-06
4.351276800008e+10,3.699042466558e-06
4.388467200008e+10,4.171454018138e-06
4.425657600008e+10,3.417260792973e-06
4.462848000008e+10,3.832047590134e-06
4.500038400008e+10,3.416937605432e-06
